id,created_at,created_phase,created_batch,rating_bundle,completion_code
763,"2016-03-03 15:30:50",10,NULL,26,bfhx5DvI
764,"2016-03-03 15:32:29",10,NULL,94,4VaFI13i
766,"2016-03-03 15:33:45",10,NULL,23,VhyNsdDt
767,"2016-03-03 15:35:12",10,NULL,94,pz17TRCP
770,"2016-03-03 15:44:16",10,NULL,87,xuXcEJEp
771,"2016-03-03 15:45:12",10,NULL,14,gn2JJ0Vh
772,"2016-03-03 15:45:25",10,NULL,23,dWVBeGSc
773,"2016-03-03 15:46:07",10,NULL,37,MAiwMJeY
774,"2016-03-03 15:48:48",10,NULL,64,KyxR5ye6
776,"2016-03-03 15:52:41",10,NULL,50,wKOVkkab
777,"2016-03-03 15:54:11",10,NULL,22,8rC4Y5uC
781,"2016-03-03 16:08:40",10,NULL,105,IBo0IGAY
782,"2016-03-03 16:14:41",10,NULL,44,hJudf5aI
783,"2016-03-03 16:17:39",10,NULL,90,B1Ml7pkO
784,"2016-03-03 16:21:24",10,NULL,57,h7VFwUhH
787,"2016-03-03 16:26:16",10,NULL,43,PKUYWzvo
790,"2016-03-03 16:32:40",10,NULL,32,C8wAXMUu
792,"2016-03-03 16:37:01",10,NULL,25,TauM0uux
793,"2016-03-03 16:38:33",10,NULL,91,6gzP4B9I
794,"2016-03-03 16:40:50",10,NULL,88,4Sp3il6i
796,"2016-03-03 16:44:35",10,NULL,63,Go8hk6W7
798,"2016-03-03 16:56:35",10,NULL,45,mkt1iNPt
799,"2016-03-03 17:00:21",10,NULL,1,StenHc5C
800,"2016-03-03 17:01:51",10,NULL,44,5PDccWoS
801,"2016-03-03 17:11:53",10,NULL,24,4yJcl9vN
802,"2016-03-03 17:14:49",10,NULL,15,MWVO3zui
803,"2016-03-03 17:18:17",10,NULL,100,l7SKu2ee
805,"2016-03-03 17:24:01",10,NULL,10,ZBWI7Xty
806,"2016-03-03 17:26:54",10,NULL,105,6Hw8WTil
807,"2016-03-03 17:29:08",10,NULL,27,UgQ8JbSl
808,"2016-03-03 17:35:41",10,NULL,90,yNLZgU6v
809,"2016-03-03 17:35:42",10,NULL,86,QGME1INM
811,"2016-03-03 17:46:46",10,NULL,16,dMwqbEJ8
812,"2016-03-03 17:49:27",10,NULL,50,o3QCCKuZ
815,"2016-03-03 17:50:34",10,NULL,6,bDDxFgRE
816,"2016-03-03 17:50:54",10,NULL,87,UMnLsA5W
817,"2016-03-03 17:51:48",10,NULL,41,1K9Sl6tJ
818,"2016-03-03 17:54:53",10,NULL,74,EDDVdDOc
819,"2016-03-03 17:54:58",10,NULL,96,GTyIt22w
820,"2016-03-03 17:57:20",10,NULL,31,8jQNoC5D
821,"2016-03-03 18:06:29",10,NULL,40,aFI5fbwR
822,"2016-03-03 18:07:11",10,NULL,18,kqgSdfeN
824,"2016-03-03 18:23:14",10,NULL,104,3BQG4MEx
825,"2016-03-03 18:23:32",10,NULL,98,J7DTW23L
826,"2016-03-03 18:24:32",10,NULL,8,AQ6XOEsO
827,"2016-03-03 18:34:48",10,NULL,8,fnX9IfKu
829,"2016-03-03 19:06:43",10,NULL,35,tSW0qLqc
830,"2016-03-03 19:13:27",10,NULL,44,QTdJnxkz
